size;array_type;threshold;time_ms
1200;"almost_sorted";0;0.342
1300;"almost_sorted";0;0.3667
1400;"almost_sorted";0;0.3978
1500;"almost_sorted";0;0.4276
1600;"almost_sorted";0;0.5328
1700;"almost_sorted";0;0.5089
1800;"almost_sorted";0;0.5194
1900;"almost_sorted";0;0.5496
2000;"almost_sorted";0;0.5779
2100;"almost_sorted";0;0.6094
2200;"almost_sorted";0;0.6409
2300;"almost_sorted";0;0.6716
2400;"almost_sorted";0;0.7011
2500;"almost_sorted";0;0.733
2600;"almost_sorted";0;0.7608
2700;"almost_sorted";0;0.7908
2800;"almost_sorted";0;0.821
2900;"almost_sorted";0;1.0253
3000;"almost_sorted";0;0.9135
3100;"almost_sorted";0;0.9251
3200;"almost_sorted";0;0.9847
3300;"almost_sorted";0;0.9816
3400;"almost_sorted";0;1.0188
3500;"almost_sorted";0;1.1572
3600;"almost_sorted";0;1.0645
3700;"almost_sorted";0;1.1031
3800;"almost_sorted";0;1.1437
3900;"almost_sorted";0;1.1625
4000;"almost_sorted";0;1.1903
4100;"almost_sorted";0;1.2221
4200;"almost_sorted";0;1.2592
4300;"almost_sorted";0;1.2868
4400;"almost_sorted";0;1.347
4500;"almost_sorted";0;1.3542
4600;"almost_sorted";0;1.3719
4700;"almost_sorted";0;1.4221
4800;"almost_sorted";0;1.4516
4900;"almost_sorted";0;1.4876
5000;"almost_sorted";0;1.6202
5100;"almost_sorted";0;1.5499
5200;"almost_sorted";0;1.5886
5300;"almost_sorted";0;1.6148
5400;"almost_sorted";0;1.6483
5500;"almost_sorted";0;1.6962
5600;"almost_sorted";0;1.7447
5700;"almost_sorted";0;1.7431
5800;"almost_sorted";0;1.7725
5900;"almost_sorted";0;1.8201
6000;"almost_sorted";0;2.1888
6100;"almost_sorted";0;1.9654
6200;"almost_sorted";0;2.0019
6300;"almost_sorted";0;2.0232
6400;"almost_sorted";0;2.202
6500;"almost_sorted";0;2.1129
6600;"almost_sorted";0;2.1462
6700;"almost_sorted";0;2.1742
6800;"almost_sorted";0;2.8739
6900;"almost_sorted";0;3.7381
7000;"almost_sorted";0;3.8189
7100;"almost_sorted";0;2.4973
7200;"almost_sorted";0;2.2411
7300;"almost_sorted";0;2.2607
7400;"almost_sorted";0;2.2916
7500;"almost_sorted";0;2.4448
7600;"almost_sorted";0;2.4892
